"StartDate","EndDate","Status","IPAddress","Progress","Duration..in.seconds.","Finished","RecordedDate","ResponseId","RecipientLastName","RecipientFirstName","RecipientEmail","ExternalReference","DistributionChannel","con","sex","age","moliv","faliv","sib","cuz","roma","sibliv","cuzliv","orient","init","sibgen","cond","init.1","n_switch_so","n_switch_os","loc_so","loc_os","wtr_so_est","wtr_os_est","WTRos_1","WTRos_10","WTRos_2","WTRos_3","WTRos_4","WTRos_5","WTRos_6","WTRos_7","WTRos_8","WTRos_9","WTRso_1","WTRso_10","WTRso_2","WTRso_3","WTRso_4","WTRso_5","WTRso_6","WTRso_7","WTRso_8","WTRso_9","ben_cond","grateful","happy","burdened","required","thankful","appreciative","indebted","joyful","pleased","want","owed","expects","log_ben","wtr_so_mc","wtr_os_mc","log_ben_mc","wtr_so_int","wtr_os_int"
"2014-03-31 14:02:14","2014-03-31 14:07:29","0","75.178.89.202",NA,"315","1","2014-03-31 14:07:29","R_000KVBZgljaookZ",NA,NA,NA,NA,NA,"1","1","8","1","1","1","1","2","1","1",NA,"Hillman","1","your oldest living sibling","Hillman",0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,3,3,3,3,3,3,3,3,3,3,3,3,-2,0,0,0,0,0
"2014-04-11 09:39:48","2014-04-11 09:42:57","0","204.126.11.239",NA,"189","1","2014-04-11 09:42:57","R_006kV3nnsKNjHyl",NA,NA,NA,NA,NA,"1","1","7","1","1","1","1","2","1","1",NA,"William",NA,"your father","William",1,1,2,4,1.06666666666667,0.8,0,1,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0.01,5,5,4,5,5,6,4,5,5,5,5,4,-2,0,0,0,0,0
"2014-04-03 04:48:34","2014-04-03 04:57:28","0","96.39.229.211",NA,"534","1","2014-04-03 04:57:28","R_00L411BqRvReP4N",NA,NA,NA,NA,NA,"1","2","35","1","2","1","1","2","1","1",NA,NA,NA,"a stranger","a stranger",1,1,9,10,0.133333333333333,0.0333333333333333,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1000,7,7,7,4,8,8,6,7,8,7,7,6,3,0,0,0,0,0
"2014-04-01 04:36:48","2014-04-01 04:42:12","0","108.13.114.48",NA,"324","1","2014-04-01 04:42:12","R_00nsCc6I3zNqsWp",NA,NA,NA,NA,NA,"1","1","6","1","1","1","1","2","1","1",NA,NA,NA,"a stranger","a stranger",1,1,8,6,0.266666666666667,0.533333333333333,0,1,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,1,1,0.01,5,5,3,3,4,5,4,4,4,3,3,3,-2,0,0,0,0,0
"2014-03-31 14:27:28","2014-03-31 14:31:27","0","173.88.138.88",NA,"239","1","2014-03-31 14:31:27","R_00pJYk1mkHXPmh7",NA,NA,NA,NA,NA,"1","1","6","1","1","1","1","1","1","1","2","Becky",NA,"your first cousin",NA,1,1,6,6,0.533333333333333,0.533333333333333,0,1,0,0,0,0,1,1,1,1,0,1,0,0,0,0,1,1,1,1,10,7,7,3,4,6,7,4,6,6,6,4,5,1,0,0,0,0,0
"2014-04-03 07:34:42","2014-04-03 07:36:54","0","71.65.208.68",NA,"132","1","2014-04-03 07:36:54","R_00PscESMGwul7md",NA,NA,NA,NA,NA,"1","2","11","1","1","1","1","2","1","1",NA,"Mark",NA,"your father","Mark",1,0,6,1,0.533333333333333,1.13333333333333,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,1,1,1,1,0.01,3,4,3,3,3,4,3,3,3,3,3,3,-2,0,0,0,0,0
"2014-03-31 14:11:39","2014-03-31 14:19:16","0","98.225.33.93",NA,"457","1","2014-03-31 14:19:16","R_00R6LBXy7X9rhAx",NA,NA,NA,NA,NA,"1","1","7","1","1","1","1","2","1","1",NA,"jared",NA,"your first cousin",NA,1,1,5,7,0.666666666666667,0.4,0,1,0,0,0,0,0,1,1,1,0,1,0,0,0,1,1,1,1,1,100,6,6,5,6,6,6,6,6,6,6,6,5,2,0,0,0,0,0
"2014-03-31 17:51:06","2014-03-31 17:53:53","0","108.226.30.158",NA,"167","1","2014-03-31 17:53:53","R_00snStbwrytSA4d",NA,NA,NA,NA,NA,"1","1","9","1","1","1","1","1","1","1","2","Carolyn",NA,"your mother","Carolyn",1,0,2,1,1.06666666666667,1.13333333333333,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,10,8,8,3,8,8,8,8,8,8,8,8,3,1,0,0,0,0,0
"2014-03-31 22:25:36","2014-03-31 22:28:47","0","129.32.224.81",NA,"191","1","2014-03-31 22:28:47","R_00uRdDIWKZzPm9T",NA,NA,NA,NA,NA,"1","1","4","1","1","1","1","1","1","1","1","Dan",NA,"your romantic partner","Dan",1,1,3,3,0.933333333333333,0.933333333333333,0,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,100,7,6,7,6,7,8,7,6,7,8,5,4,2,0,0,0,0,0
"2014-04-04 23:56:11","2014-04-04 23:59:32","0","68.96.189.97",NA,"201","0","2014-04-11 23:59:37","R_00VKMH4G9m71nVz",NA,NA,NA,NA,NA,"1","2","4","1","1","1","1","1","1","1","1","Gene",NA,"your father","Gene",1,0,6,1,0.533333333333333,1.13333333333333,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,1,1,1,1,1,7,6,3,4,7,6,4,6,6,7,4,3,0,0,0,0,0,0
